geneID	symbol	Pre-infection_1	Pre-infection_2	Pre-infection_3	Pre-infection_4	Post-infection_1	Post-infection_2	Post-infection_3	Post-infection_4
212516	BC060267	168.3739	33.4665	20.2747	39.6733	36.1335	26.7303	18.9902	33.9673
433882	Gm16223	409.5183	313.7638	323.9624	298.9558	293.509	349.1837	339.4728	360.5529
66559	Metap1d	1565.6458	1452.8184	1583.9348	1264.3074	1224.4373	1246.3859	1416.2069	1323.2538
233529	Kctd14	901.7178	764.7493	929.4597	694.5243	621.2618	788.8497	489.1214	1078.0514
22070	Tpt1	278558.3	274769.72	286298.6	271637.8	345336.7	327822.53	379947.47	340302.25
67690	Prss37	357.8577	336.575	295.7964	247.6061	285.8527	315.2176	288.9716	324.9621
22030	Traf2	315.0122	275.2522	370.1752	322.2607	222.1755	281.9103	258.702	300.5433
72925	1-Mar	13000.262	11771.451	11385.189	8860.999	8618.039	12266.683	9664.847	9721.251
28194	Apon	11.3107	10.5107	9.645	9.1109	27.1869	34.1008	30.2384	26.2872
212032	Hk3	1138.449	735.6048	892.6345	747.9257	2309.4463	1776.9507	2512.639	1714.9602
70153	2210016F16Rik	420.3464	469.1626	365.0283	366.0009	318.0205	379.5123	338.1948	361.049
257985	Olfr782	28.3254	56.1059	42.0214	11.2224	11.5775	14.5665	14.3013	11.4994
56381	Spen	5589.1045	6055.301	6235.3447	5707.1387	4104.2964	5320.208	4869.3374	5138.044
68499	Mrpl53	9056.083	10649.359	10256.583	10149.742	9421.526	12782.369	10927.531	13388.714
52137	D7Ertd595e	353.4685	302.4478	533.0882	215.721	175.5666	254.6859	241.5546	271.1945
93840	Vangl2	248.7605	340.4405	236.0685	227.4342	256.3011	270.4839	253.1932	266.3028
83454	Nxf2	145.8815	130.9618	120.0749	109.9181	112.0284	150.1111	152.5902	135.4324
11479	Acvr1b	3232.0027	3539.6677	3418.804	2688.914	2705.619	3614.5686	3271.0823	3739.571
242653	Cldn19	41.2302	46.7405	24.5914	35.5391	36.826	29.3741	41.0281	45.1445
212391	Lcor	290.5622	313.7495	297.3837	273.2853	191.4556	224.9041	235.4613	205.2875
93687	Csnk1a1	5707.7383	6125.635	5694.6836	5154.979	5887.1304	6471.436	7033.0737	5799.4614
67815	Sec14l2	1306.7181	1205.7156	1141.1124	1107.108	772.9067	1251.2886	975.3655	1248.9021
664608	Rhox4g	30.8536	157.1211	4.2385	5.1763	8.072	10.7713	4.5396	5.4656
18813	Pa2g4	1481.2177	1437.2361	1376.9918	1182.9949	1996.1549	2037.652	2270.5928	2120.9026
22697	Zscan21	6190.9307	6300.1816	6234.1865	5941.563	4449.4536	5791.826	5134.102	5171.502
192170	Eif4a3	3056.5657	3061.6655	3117.6208	3037.138	2728.6938	3910.2688	3513.0332	3736.1145
212919	Kctd7	46.7216	160.7324	19.0821	11.6604	7.7028	16.0915	14.7541	5.6683
217558	G2e3	377.029	556.9543	408.7164	374.4561	719.1783	677.6059	772.4333	665.8028
14013	Mecom	197.0478	132.1445	139.5502	105.249	69.9787	106.1588	87.7	113.1723
268470	Ube2z	3483.2727	3751.525	3719.6753	3545.1917	3525.7239	4471.9106	4339.646	4397.935
16145	Igtp	6931.089	7583.65	9407.716	11501.462	47869.074	23925.506	44801.832	31723.729
13115	Cyp27b1	38.1951	20.9417	21.0566	12.809	28.6173	25.4575	20.4045	23.2697
14257	Flt4	394.4992	449.1381	437.4667	315.0226	200.5241	315.3431	282.4849	249.7121
208158	Map6d1	7391.43	6957.2124	7597.85	6566.371	6467.801	6108.175	6435.172	5578.448
30794	Pdlim4	1889.91	1409.8534	1839.9482	1834.231	6306.415	2708.0452	5981.8784	3660.5117
271457	Rab5a	7689.389	7329.851	7330.7085	6918.121	4917.5835	6800.4287	6174.489	6482.311
279029	Gm711	55.9601	92.0112	46.0206	25.8077	146.9119	61.606	81.5123	73.9093
74685	4930451C15Rik	425.9246	408.4007	342.7808	333.5309	388.7532	206.1479	169.3563	291.0803
71435	Arhgap21	14327.417	16024.109	14891.374	16642.14	7613.144	10617.848	10120.833	9297.811
621976	Tmem170b	389.5563	452.061	418.0932	358.5128	302.9773	352.1306	355.6386	305.6673
16890	Lipe	233.5165	238.2364	216.3648	245.4354	261.6572	368.4726	286.5747	407.4229
11669	Aldh2	36864.113	40019.54	30279.205	32428.076	9863.091	22392.152	17082.621	17519.766
13543	Dvl2	334.6699	36.2685	53.268	29.1675	33.3633	31.6633	35.5321	36.4876
106489	Sft2d1	84.3432	44.1461	25.4148	73.06	134.2116	127.7376	162.2217	134.3877
18553	Pcsk6	1156.451	1146.8672	996.3391	1167.3899	1458.9932	1516.342	1436.4886	1621.554
11909	Atf2	137.6294	167.5212	141.3229	107.6538	109.1923	95.0914	125.7815	100.9717
14911	Thumpd3	3411.9722	3184.193	3499.6687	3624.6873	3326.8403	4075.6248	3792.6372	4407.5625
69068	1810011O10Rik	2201.37	2895.335	2921.6228	3468.7715	3885.0374	4074.2725	3007.1123	3477.682
22717	Zfp59	737.4788	752.9946	724.2568	712.4371	443.2823	556.3401	483.5907	628.6533
226251	Ablim1	742.6674	564.9085	578.7846	443.644	364.8882	418.2311	377.7375	475.9492
215280	Wipf1	3667.3755	3805.626	4052.2502	4007.7568	4242.355	4150.827	4596.323	4436.8975
238037	BC068281	84.0304	131.1528	69.0319	71.186	69.8886	85.9595	77.9425	124.419
16000	Igf1	1608.5101	1319.5667	1437.3701	1165.2457	1793.7694	2045.6525	2266.1155	2397.286
72244	1600014C10Rik	93.8131	85.3533	85.0187	105.7877	125.53	146.4831	164.519	151.262
